zaprzeczać, zaprzeczyć	to deny, to negate, to dispute, to contradict	-am -asz, -czę -czysz<br />zaprzeczać komuś (dative) - to disagree with somebody<br />zaprzeczać zarzutom - to deny accusations
połysk	luster, gloss	Gsg: -u
słuchawka	receiver (telephone); headphone(s); stethoscope	podnieść/odłożyć słuchawkę - to pick up/to hang up the phone
pijany	drunk (adj)	
stawić się	to show up (at), to report for duty (vp)	-wię -wisz<br />stawić się na (+ locative) - to show up at...
zaspać	to oversleep (vp)	-śpię -śpisz zaśpij
żarłoczny	gluttonous, voracious	
żałować, pożałować	to regret, to pity, to feel sorry	-uję -ujesz<br />żałować czegoś - to regret something<br />żałować za grzechy - to repent<br />żałować komuś czegoś - to grudge somebody something
sutek	nipple	Gsg: sutka
masywny (masywniejszy, najmasywniejszy)	massive (more massive, the most massive)	
ważyć, zważyć	to weigh, to be important	-żę -żysz<br />Ani mi się waż! - Don't you even dare!
prom	ferry, ferry-boat	Gsg: -u
skuteczność	effectiveness	
upiór	ghost, ghoul, spectre	Gsg: upioru
poznawać, poznać	to get to know, to become acquainted with; to experience; to recognize	poznaję -jesz, -am -asz
charytatywny	charitable, charity (adj)	instytucja charytatywna - charity<br />na cele charytatywne - for charity
utonięcie	drowning	
kurier	courier	Npl: kurierzy
pot	sweat, perspiration	Gsg: -u
dogadywać się, dogadać się	to come to an agreement; to make oneself understood (e.g. in a foreign language)	-duję -dujesz, -am -asz
jałowy	sterile; pointless; barren; neutral	jałowy opatrunek - sterile bandage<br />jałowa dyskusja - pointless discussion<br>bieg jałowy - neutral gear
usunięcie	removal, elimination	
szybować, poszybować	to glide, to soar	-buję -bujesz<br />Podatki szybują w górę - Taxes are soaring
piekarz	baker	
legendarny	legendary	
skrupulatny	meticulous, fastidious	
dorobek	possessions; output (literary); achievements (professional)	Gsg: dorobku
obcierać, obetrzeć	to wipe; to chafe (skin)	-am -asz, obetrę obetrzesz obtarł<br />Buty mnie obcierają - My shoes are rubbing my feet
ospa	pox	ospa wietrzna - chickenpox<br>
pamiętnik	diary, memorials	Gsg: -a
kiermasz	bazaar, fair	Gsg: -u
marnować, zmarnować	to waste, to squander	-nuję -nujesz<br />zmarnować okazję - to miss an opportunity
apelować, zaapelować	to appeal (to)	-luję -lujesz<br />apelować do (+ genitive) - to appeal to...
szympans	chimpanzee	
Stany Zjednoczone	United States	w Stanach Zjednoczonych - In the United States
perwersyjny, przewrotny	perverse	
los	lot, fortune, luck; (lottery) ticket	Gsg: -u<br />przeciwności losu - adversities<br />zmienne koleje losu - changing fortunes<br />pusty los - losing ticket<br />ciągnąć losy - to draw lots
zwalać, zwalić	to dump; to knock down; to blame (~ winę)	-am -asz<br />zwalać winę na (+ accusative) - to put the blame on...
Duch Święty	the Holy Spirit	w imię Ojca i Syna i Ducha Świętego - in the name of the Father, and of the Son, and of the Holy Spirit
zabezpieczenie	protection, security	
piractwo	piracy	
łaskotać, połaskotać	to tickle	-oczę -oczesz
zaręczać się, zaręczyć się	to get engaged	-am -asz, -czę -czysz<br />zaręczyć się z kimś (instrumental) - to get engaged to somebody<br />Zaręczyli się - They got engaged
wkładka	insert; insole	
festyn	fete, festival, outdoor party	Gsg: -u
grzać	to warm, to heat (vi)	grzeję -jesz grzali grzej
zadziwiać, zadziwić	to astonish, to mystify	-iam -iasz, -wię -wisz<br>zadziwiać (+ instrumental) + to astonish with...<br>zadziwiać się - to be astonished
siać, zasiać/posiać	to sow; to scatter; to raise, to cause; to arouse; to spread	sieję siejesz siej<br />siać niezgodę - to sow dissension<br />siać zgorszenie - to cause scandals<br />siać panikę - to spread/cause panic
sensacja	sensation	
podkoszulek	undervest, undershirt	Gsg: podkoszulka
niedosyt	want, lack, insufficiency	Gsg: -u
łaciński	Latin (attr, language)	
wspierać, wesprzeć	to assist, to support, to back up	-am -asz, wesprę wesprzesz wsparł wesprzyj<br />wspierać się - to support each other<br />wsparty na słupach - supported by posts
zakazywać, zakazać	to forbid, to ban, to prohibit	-zuję -zujesz, -żę -żesz<br />zakazywać (+ genitive) - to forbid...<br />zakazywać komuś (dative) czegoś (genitive) - to forbid somebody to do something
podsycać, podsycić	to fuel, to fan, to feed, to foment, to excite	-am -asz, -cę -cisz podsyć
awansować, zaawansować	to promote (somebody to a higher position)	-suję -sujesz
druk	print, printing; type; form	Gsg: -u<br />ukazać się w druku - to appear in print, to be published<br />błąd w druku - misprint<br />druki - printed matter
regał	bookshelf	Gsg: -u
szalik	scarf	"Gsg: -a<br />a warm scarf for winter. See ""szal"" for decorative women's scarf/shawl"
