świadectwo	certificate; evidence, testimony	
poważanie	respect, esteem, deference	
złoto	gold (n)	kopalnia złota - gold mine<br>gorączka złota - gold rush<br>nie wszystko złoto, co się świeci - all that glitters is not gold<br>osiemnastokaratowe złoto - 18-carat gold
połysk	luster, gloss	Gsg: -u
słuchawka	receiver (telephone); headphone(s); stethoscope	podnieść/odłożyć słuchawkę - to pick up/to hang up the phone
dżem	jam	Gsg: -u
pierś (f)	breast, chest	pierś kurczaka - chicken breast<br />karmić piersią - to nurse, to breast-feed<br />pełną piersią - to the fullest
wołowina	beef	
wspinaczka	climbing	wspinaczka wysokogórska - mountaineering
krata	grate, grating, grille	
podmiot	subject (grammar)	Gsg: -u
zawieszenie	suspension	e.g. of fire (military), or suspension in a car, etc<br />zawieszenie broni - armistice<br />zawieszenie ognia - cease-fire<br />wyrok z zawieszeniem - suspended sentence
Szwecja	Sweden	w Szwecji - in Sweden<br />ze Szwecji - from Sweden<br />ze Szwecją - with Sweden
otwieracz	opener (for cans, bottles etc)	Gsg: -a<br>otwieracz do butelek - bottle-opener<br />otwieracz do puszek/konserw - can-opener
turystyka	tourism	
maszynista	train driver	Npl: maszyniści
matematyka	mathematics	"stress on the third syllable from the end (""ma"")"
kompozycja	composition, piece	
złoty	gold, golden (adj); zloty (currency) (n)	When used about currency usually abbreviated zł<br />złoty medal - gold medal<br />złota rączka - handyman<br />złoty wiek - golden age<br />To kosztuje sto złotych - It costs 100 zloty
pieczeń (f)	roast, roast meat (n)	
sutek	nipple	Gsg: sutka
dyscyplina	discipline	
prom	ferry, ferry-boat	Gsg: -u
skuteczność	effectiveness	
upiór	ghost, ghoul, spectre	Gsg: upioru
ultimatum (n)	ultimatum	indeclinable in the singular
gap	bystander, onlooker	Gsg: gapia, Npl: gapie, Gpl: gapiów<br />tłum gapiów - crowd of onlookers
składnica	storehouse, warehouse	
skarb	treasure	Gsg: -u
Mongolia	Mongolia	Gsg: -ii
Rumun, Rumunka	Romanian (person)	Npl of Rumun: Rumuni
porażka	defeat, failure	ponieść porażkę - to suffer defeat<br>przyznać się do porażki - to admit defeat, to acknowledge failure<br />
zmierzch	twilight, dusk	Gsg: -u
piekarnik	oven	Gsg: -a<br>Oven for baking/cooking, not e.g. for heating or drying
utonięcie	drowning	
kurier	courier	Npl: kurierzy
pięść	fist	walka na pięści - fistfight
powiązanie	connection, interrelation	w powiązaniu z (+ instrumental) - in connection with...
pióro	feather; feather pen	
pot	sweat, perspiration	Gsg: -u
miód	honey; mead	Gsg: miodu
hańba	dishonour, disgrace (n)	
spisek, zmowa	conspiracy, plot	Gsg of spisek: spisku<br>zmowa milczenia - conspiracy of silence<br>być w zmowie z (+ instrumental) - to be in league with...
wyznanie	confession, admission, avowal; religion, creed	wyznanie miłosne - declaration of love
przeprosiny	apology	plural, Gpl: przeprosin<br>na przeprosiny - as an apology<br>Jesteś mi winny przeprosiny - You owe me an apology<br>przyjąć przeprosiny - to accept an apology
usunięcie	removal, elimination	
powietrze	air	na (świeżym) powietrzu - in the open air, outdoors<br />na wolnym powietrzu - in the open, outdoors<br />wisieć w powietrzu - to be in the air (fig.)
mosiądz	brass (metal) (n)	Gsg: mosiędzu
