świadectwo	certificate; evidence, testimony	
biedactwo	poor thing	
bogactwo	wealth, richness	
bogacz	rich person	
wołacz	vocative (grammar)	Gsg: -a
ołtarz	altar	Gsg: -a
gitara	guitar	grać na gitarze - to play the guitar<br>gitara basowa - bass guitar
miara	measure, size, dimension	szyty na miarę - custom-made<br>miara długości - measure of length<br>w pewnej/dużej mierze - to a certain/large extent<br>żadną miarą - by no means
ofiara	victim, prey, sacrifice	
oficer	officer (military)	
oficjel	big shot, VIP	
nosiciel	carrier, bearer	e.g. carrier of a disease
nosicielka	carrier, bearer	e.g. carrier of a disease
okazicielka	holder, bearer	czek na okaziciela - cheque payable to the bearer
okaziciel	holder, bearer	czek na okaziciela - cheque payable to the bearer
gwałciciel	rapist	
właściciel	owner, proprietor; landlord, landlady	
właścicielka	owner, proprietor; landlord, landlady	
wielbicielka	admirer, adorer, worshipper, fan	Npl of wielbiciel: wielbiciele
wielbiciel	admirer, adorer, worshipper, fan	Npl of wielbiciel: wielbiciele
wierzyciel	creditor	Npl: wierzyciele
marzyciel	dreamer	Npl of marzyciel: marzyciele
marzycielka	dreamer	Npl of marzyciel: marzyciele
założycielka	founder, foundress	
założyciel	founder, foundress	
nadużycie	abuse; misuse; overuse; misappropriation (of funds)	
nakrycie	cover; place setting	nakrycie głowy - headdress, headgear<br>bez nakrycia głowy - bareheaded
pokrycie	cover, covering (financial); upholstery; roofing	czek bez pokrycia - bounced cheque<br />obietnice bez pokrycia - empty promises
pokrowiec	cover, case, casing	Gsg: pokrowca
sportowiec	sportsman, sportswoman	Npl: sportowcy
surowiec	raw material	Gsg: surowca<br />surowce wtórne - recyclable materials
rurociąg	pipeline	Gsg: -u<br />rurociąg gazowy (or gazociąg) - gas pipeline
korkociąg	corkscrew	Gsg: -u
marketing	marketing	
trening	training, coaching	Gsg: -u
tkanina	fabric, cloth	
pianino	piano	grać na pianinie - to play the piano
ziarno	grain, seed, bean	Gpl: ziaren<br />ziarno fasoli - bean<br />ziarno kawy - coffee bean<br />ziarno kakao - cocoa bean<br />ziarno słonecznika - sunflower seed<br />ziarno prawdy - grain of truth<br />oddzielać ziarno od plewy - to separate the wheat from the chaff
ciarki	shivers, creeps	przeszły mnie od tego ciarki - it gave me the creeps
ścieki	sewage, gutter	plural, Gpl: ścieków
ścieżka	path	ścieżka rowerowa - bicycle path, bicycle lane<br>ścieżka dźwiękowa - soundtrack
ścierka	dishcloth	
świerk	spruce	Gsg: -u
ćwierć	quarter (as in one fourth)	
śmierć	death	śmierć głodowa - starvation<br />śmierć samobójcza - suicidal death<br />walczyć na śmierć i życie - to fight to the death<br />Zapomniałem na śmierć! - I clean forgot (colloq.)<br />wyrok śmierci - death sentence
śmieci	litter, rubbish, refuse	usually plural, Nsg: śmieć (m), Gsg: śmiecia, Gpl: śmieci
śmiech	laughter	Gsg: śmiechu<br />ze śmiechu - from laughter
uśmiech	smile (n)	Gsg: -u
tłuścioch	fatty, fatso	
teściowa	mother-in-law	
teściowie	parents-in-law	
bezprawie	lawlessness	
bezrobocie	unemployment	
akrobacje	acrobatics	plural, Gpl: akrobacji
korporacja	corporation	
kompozycja	composition, piece	
korepetycje	private lessons, tutoring	"plural<br />sometimes colloquially called ""korki""<br />udzielać komuś korepetycji - to give private lessons to somebody<br>dawać komuś korepetycje - to tutor somebody"
kompetencja	competence	
korespondencja	correspondence; report	utrzymywać korespondencję - to keep up correspondence
konsekwencja	consequence; consistency; determination	
konserwacja	maintenance; conservation, preservation	
konserwator	restorer, conservator; maintenance technician	Npl: konserwatorzy
obserwator	observer	Npl: obserwatorzy
gubernator	governor	Npl: gubernatorzy/gubernatorowie
senator	senator	Npl: senatorzy/senatorowie
senat	senate	Gsg: -u<br />the upper house of the Polish parliament
etat	position (work)	Gsg: -u<br />pełny etat -full-time job<br />na pełny/pół etatu - full-time/part-time<br />wolny etat - vacancy
etap	stage, phase, lap	Gsg: -u
staw	pond; joint	Gsg: -u<br />staw hodowlany - fishpond<br />ból w stawach - pain in the joints
staż	internship, training, apprenticeship, probation	Gsg: -u<br>staż naukowy - research fellowship<br>staż pracy - seniority, tenure
stróż	caretaker; guardian	nocny stróż - watchman<br />Anioł Stróż - guardian angel
strój	dress, attire, apparel; tune, key (music)	Gsg: stroju<br>strój ludowy - national dress/costume<br>strój wieczorowy - evening dress, evening wear<br>strój żałobny - mourning clothes<br>strój kąpielowy - swimsuit
ustrój	system (political or biological)	Gsg: -u
wystrój	decoration, décor	Gsg: wystroju
występ	show, performance; ledge, projection	Gsg: -u
wstęp	admission, admittance; introduction, preface	Gsg: -u
ustęp	water closet, toilet; passage, paragraph (books)	Gsg: -u
zastęp	patrol (scouting)	
zasięg	range, reach	Gsg: -u<br />w zasięgu wzroku - within sight<br />w zasięgu (ręki) - within (arm's) reach<br />zasięg wpływów - sphere of influence<br>poza zasięgiem - out och reach<br />pociski dalekiego zasięgu - long-range missiles
zabieg	procedure, treatment, operation (medical)	Gsg: -u<br />in medicine, a smaller operation/surgery
zbieg	confluence, junction, intersection; fugitive, runaway, escapee	Gsg: -a
bieg	run; race; gear (engine)	Gsg: -u<br />w biegu - running/in a hurry/on the run<br />bieg krótki/maratoński - sprint/marathon race<br />bieg jałowy - neutral gear<br />na biegu - in gear<br />wsteczny bieg - reverse (gear)<br />zmienić bieg - to change/shift gear
piegi	freckles	plural - Nsg: pieg, Gsg: piega, Gpl: piegów
pień	(tree) trunk; stump	Gsg: pnia, Npl: pnie, Gpl: pniów
cień	shade, shadow	Gsg: cienia
cierń	thorn	Gsg: ciernia
cera	skin, complexion	
cela	cell (as in prison cell)	cela więzienna - prison cell<br />cela śmierci - death cell
cieśla	carpenter	Npl of stolarz: stolarze, Npl of cieśli: cieśli
cielę	calf (animal)	Npl: cielęta
ciemię	top of the head, fontanelle (anat.)	Npl: ciemiona
siemię	birdseed	Npl: siemiona
plemię	tribe	Gsg: plemienia, Npl: plemiona, Gpl: plemion<br />
premia	bonus	Gsg: -ii
preria	praire	Gsg: -ii
prestiż	prestige	Gsg: -u
kwestia	matter, issue, question	Gsg: -ii<br>być kwestią (+ genitive) - to be a question of...
orkiestra	orchestra, band	orkiestra symfoniczna - symphony orchestra<br />orkiestra jazzowa - jazz band<br />orkiestra dęta - brass band<br />orkiestra wojskowa - military band
magistrat	town hall, town council	Gsg: -u
nazista	Nazi (person)	Npl: naziści
kapusta	cabbage	
kaplica	chapel	
